author,name,material,technic,genre,style,v_size,h_size,year,price
Halzev Nikolay,Panorama of the city of Samara,Cardboard,Oil,Landscape,Realism,39,73,Unknown,3210
Halzev Nikolay,The island of Taiwan,Cardboard,Oil,Landscape,Realism,49,80,Unknown,3210
Halzev Nikolay,Autumn in Bahalovo,Cardboard,Oil,Landscape,Realism,49,79,Unknown,3000
Halzev Nikolay,Autumn birches,Cardboard,Oil,Landscape,Realism,49,80,Unknown,2140
Halzev Nikolay,Lake between fields,Cardboard,Oil,Landscape,Realism,37,65,Unknown,2140
Halzev Nikolay,New district on the Volga,Cardboard,Oil,Landscape,Realism,40,67,Unknown,3000
Halzev Nikolay,Nekrasov descent,Cardboard,Oil,Landscape,Realism,42,65,Unknown,1840
Halzev Nikolay,Beginning of autumn,Cardboard,Oil,Landscape,Realism,41,73,Unknown,3210
Halzev Nikolay,In cotton harvesting,Cardboard,Oil,Landscape,Realism,40,65,Unknown,3000
Halzev Nikolay,On the slopes,Cardboard,Oil,Landscape,Realism,40,60,Unknown,3000
Halzev Nikolay,On Volozhka,Cardboard,Oil,Landscape,Realism,50,70,Unknown,3340
Kerkeladze Niko,Chess players,Canvas,Oil,Genre painting,Naive art,60,80,2015,500
Halzev Nikolay,Navy pier,Cardboard,Oil,Landscape,Realism,25,61,Unknown,2360
Halzev Nikolay,Mill,Cardboard,Oil,Landscape,Realism,40,60,Unknown,2570
Halzev Nikolay,Purple edge mountains,Cardboard,Oil,Landscape,Realism,50,80,Unknown,3000
Halzev Nikolay,Summer in Crimea,Cardboard,Oil,Landscape,Realism,42,65,Unknown,2360
Halzev Nikolay,Ice drifting on the Volga,Cardboard,Oil,Landscape,Realism,49,49,Unknown,1710
Halzev Nikolay,Cote d’Azur,Cardboard,Oil,Landscape,Realism,47,58,Unknown,2360
Halzev Nikolay,Crimean rocks,Cardboard,Oil,Landscape,Realism,41,58,Unknown,2910
Halzev Nikolay,Crimea,Cardboard,Oil,Landscape,Realism,78,131,Unknown,6430
Halzev Nikolay,Red roof,Cardboard,Oil,Landscape,Realism,35,51,Unknown,2140
Halzev Nikolay,The Volga,Cardboard,Oil,Landscape,Realism,50,60,Unknown,2360
Halzev Nikolay,The June grasses,Cardboard,Oil,Landscape,Realism,34,52,Unknown,2140
Halzev Nikolay,Lada in March,Cardboard,Oil,Landscape,Realism,60,79,Unknown,2790
Halzev Nikolay,Zhigulevsky forest study,Cardboard,Oil,Landscape,Realism,40,65,Unknown,3000
Halzev Nikolay,Zhiguli mountains,Cardboard,Oil,Landscape,Realism,48,70,Unknown,2570
Halzev Nikolay,Yellow mountain,Cardboard,Oil,Landscape,Realism,39,66,Unknown,2140
Halzev Nikolay,The road to the pass,Cardboard,Oil,Landscape,Realism,39,65,Unknown,2570
Halzev Nikolay,The road to the gorge,Cardboard,Oil,Landscape,Realism,42,65,Unknown,2140
Halzev Nikolay,House of forester,Cardboard,Oil,Landscape,Realism,40,52,1975,2790
Halzev Nikolay,Little House on the Volga,Cardboard,Oil,Landscape,Realism,42,65,Unknown,2570
Halzev Nikolay,Bungalows Bakhilova,Cardboard,Oil,Landscape,Realism,50,79,Unknown,2790
Halzev Nikolay,Village on a cloudy day,Cardboard,Oil,Landscape,Realism,49,80,Unknown,3210
Halzev Nikolay,Gurzuf,Cardboard,Oil,Landscape,Realism,40,67,Unknown,2570
Halzev Nikolay,Mountains above Gurzuf,Cardboard,Oil,Landscape,Realism,71,87,Unknown,3640
Halzev Nikolay,City at sunset,Cardboard,Oil,Landscape,Realism,50,80,Unknown,3210
Halzev Nikolay,City ​​away,Cardboard,Oil,Landscape,Realism,36,52,Unknown,1710
Halzev Nikolay,Mountain landscape,Cardboard,Oil,Landscape,Realism,50,79,Unknown,3210
Halzev Nikolay,Mountain flowers,Cardboard,Oil,Landscape,Realism,71,92,1974,4290
Halzev Nikolay,Mountain slopes,Cardboard,Oil,Landscape,Realism,42,65,Unknown,3340
Halzev Nikolay,Village,Cardboard,Oil,Landscape,Realism,38,52,Unknown,2140
Halzev Nikolay,Chine,Cardboard,Oil,Landscape,Realism,39,67,Unknown,3340
Halzev Nikolay,Glinka. Beach,Cardboard,Oil,Landscape,Realism,48,80,Unknown,3260
Halzev Nikolay,Entrance to the channel,Cardboard,Oil,Landscape,Realism,37,83,Unknown,3430
Halzev Nikolay,Volonskaya,Cardboard,Oil,Landscape,Realism,51,77,Unknown,2570
Halzev Nikolay,Volga works,Cardboard,Oil,Landscape,Realism,32,68,Unknown,3000
Halzev Nikolay,Early spring,Cardboard,Oil,Landscape,Realism,65,99,Unknown,4290
Halzev Nikolay,View from the window the artist’s studio,Cardboard,Oil,Landscape,Realism,55,93,Unknown,4290
Halzev Nikolay,Windy denok,Cardboard,Oil,Landscape,Realism,40,60,Unknown,2570
Halzev Nikolay,Windy day,Cardboard,Oil,Landscape,Realism,59,80,Unknown,3210
Halzev Nikolay,Spring on the Volga,Cardboard,Oil,Landscape,Realism,55,55.7,Unknown,1930
Halzev Nikolay,Spring in Crimea,Cardboard,Oil,Landscape,Realism,50,80,Unknown,3260
Halzev Nikolay,In Gurzuf,Cardboard,Oil,Landscape,Realism,50,70,Unknown,3000
Halzev Nikolay,In the mountains of Crimea,Cardboard,Oil,Landscape,Realism,50,80,Unknown,3210
Halzev Nikolay,VAZ construction,Cardboard,Oil,Landscape,Realism,37,51,Unknown,2790
Halzev Nikolay,Riot of colors,Cardboard,Oil,Landscape,Realism,35,50,Unknown,2360
Halzev Nikolay,Birches,Cardboard,Oil,Landscape,Realism,40,46,Unknown,1710
Halzev Nikolay,Silence rocks,Cardboard,Oil,Landscape,Realism,50,70,Unknown,2360
Halzev Nikolay,Summer etude 4,Cardboard,Oil,Landscape,Realism,42,65,Unknown,2570
Halzev Nikolay,Summer,Cardboard,Oil,Landscape,Realism,38,60,Unknown,2790
Halzev Nikolay,Flood,Cardboard,Oil,Landscape,Realism,34,48,Unknown,2790
Halzev Nikolay,Volga landscape,Cardboard,Oil,Landscape,Realism,23,72,Unknown,2570
Ermak Denis,Chervonyi herd,Canvas,"Oil, acrylic",Animals,Impressionism,100,70,2018,1710
Ermak Denis,"Hey there, on a barge!",Canvas,"Oil, acrylic",Genre painting,Impressionism,70,100,2018,1710
Ermak Denis,Scarlet Sails 4,Canvas,"Oil, acrylic",Genre painting,Expressionism,100,70,2018,1710
Ermak Denis,Red Sails 3,Canvas,"Oil, acrylic",Genre painting,Expressionism,100,70,2018,1710
Halzev Nikolay,Summer sketch 5,Cardboard,Oil,Landscape,Realism,39,48,Unknown,1930
Halzev Nikolay,Construction is,Cardboard,Oil,Landscape,Realism,35,50,Unknown,3000
Halzev Nikolay,Village,Cardboard,Oil,Landscape,Realism,32,70,Unknown,3000
Halzev Nikolay,Spring etude,Cardboard,Oil,Landscape,Realism,40,67,Unknown,3000
Halzev Nikolay,Summer Study 3,Cardboard,Oil,Landscape,Realism,35,49,Unknown,2140
Halzev Nikolay,Volzhsky etude,Cardboard,Oil,Landscape,Realism,33,67,Unknown,2790
Halzev Nikolay,Autumn etude,Cardboard,Oil,Landscape,Realism,49,55,Unknown,2360
Halzev Nikolay,Autumn,Cardboard,Oil,Landscape,Realism,50,80,Unknown,500
Filimonova Olga,Urban prints №2,plywood,acrylic,Landscape,Realism,60,100,2018,1290
Zinger Grigoriy,NAVAL bASE,Canvas,Oil,Landscape,Realism,80,100,Unknown,500
Zinger Grigoriy,Tent near the village Bekovo,Cardboard,Oil,Landscape,Realism,50,75,Unknown,500
Zinger Grigoriy,Spring,Cardboard,Oil,Landscape,Realism,50,80,Unknown,500
Zabaluhin Yuriy,Still life with a wood grouse,Cardboard,Oil,Still life,Realism,63,57,Unknown,2140
Halzev Nikolay,Winter etude 2,Cardboard,Oil,Landscape,Realism,25,65,Unknown,2360
Halzev Nikolay,Winter etude,Cardboard,Oil,Landscape,Realism,28,79,Unknown,2570
Halzev Nikolay,Village,Cardboard,Oil,Landscape,Realism,34,49,Unknown,1930
Halzev Nikolay,Battle for Fatherland,Cardboard,Oil,Genre painting,Realism,50,78,Unknown,3210
Halzev Nikolay,In Crimean 3,Cardboard,Oil,Landscape,Realism,74,52,Unknown,2360
Halzev Nikolay,Summer Study 2,Cardboard,Oil,Landscape,Realism,35,54,Unknown,2140
Halzev Nikolay,Zhiguli. Etude,Cardboard,Oil,Landscape,Realism,46,80,Unknown,3430
Halzev Nikolay,Volzhsky etude,Cardboard,Oil,Landscape,Realism,45,70,Unknown,3000
Halzev Nikolay,Summer study,Cardboard,Oil,Landscape,Realism,42,65,Unknown,2360
Halzev Nikolay,Village etude,Cardboard,Oil,Landscape,Realism,39,60,Unknown,3210
Halzev Nikolay,Spring. 2 spill,Cardboard,Oil,Landscape,Realism,37,92,Unknown,3860
Halzev Nikolay,Etude. It’s a nasty day,Cardboard,Oil,Landscape,Realism,38,58,Unknown,2360
Halzev Nikolay,Eternal Flame,Cardboard,Oil,Genre painting,Realism,69,48,Unknown,3000
Halzev Nikolay,Autumn etude on the Volga,Cardboard,Oil,Landscape,Realism,47,65,Unknown,2570
Halzev Nikolay,Etude. the Volga,Cardboard,Oil,Landscape,Realism,38,57,Unknown,2360
Halzev Nikolay,The Volga 3,Cardboard,Oil,Landscape,Realism,44,46,Unknown,2140
Halzev Nikolay,The village on the Volga,Cardboard,Oil,Landscape,Realism,48,69,Unknown,3000
Halzev Nikolay,In Crimean 2,Cardboard,Oil,Landscape,Realism,40,67,Unknown,3640
Halzev Nikolay,Flood,Cardboard,Oil,Landscape,Realism,62,74,Unknown,3000
Halzev Nikolay,Self-portrait,Cardboard,Oil,Portrait,Realism,51,40,Unknown,1500
Halzev Nikolay,Birch Grove,Cardboard,Oil,Landscape,Realism,64,50,Unknown,2360
Halzev Nikolay,Self Portrait 2,Cardboard,Oil,Portrait,Realism,34,25,Unknown,1290
Halzev Nikolay,Irises,Cardboard,Oil,Landscape,Realism,72,75,Unknown,2790
Halzev Nikolay,Wind on the Volga,Cardboard,Oil,Landscape,Realism,26,50,Unknown,2140
Halzev Nikolay,The Volga,Cardboard,Oil,Landscape,Realism,50,85,Unknown,2570
Halzev Nikolay,Autumn,Cardboard,Oil,Landscape,Realism,49.5,69,Unknown,2140
Halzev Nikolay,Summer,Cardboard,Oil,Landscape,Realism,45,80,Unknown,3430
Halzev Nikolay,On Bogatyr 2,Cardboard,Oil,Landscape,Realism,40,68,Unknown,3000
Halzev Nikolay,The Volga 2,Cardboard,Oil,Landscape,Realism,40,66,Unknown,2010
Halzev Nikolay,Volzhsky etude,Cardboard,Oil,Landscape,Realism,33,37,Unknown,1710
Halzev Nikolay,Winter,Cardboard,Oil,Landscape,Realism,39,49,Unknown,1710
Halzev Nikolay,Summer meadow,Cardboard,Oil,Landscape,Realism,30,55,Unknown,1930
Ivukin Yuriy,Reflection,Cardboard,Oil,Landscape,Expressionism,60,50,Unknown,1530
Ivukin Yuriy,Still life,Canvas,Oil,Still life,Expressionism,50,50,Unknown,1930
Ivukin Yuriy,Sunset in the winter. January,Canvas,Oil,Landscape,Expressionism,60,50,Unknown,2660
Zabaluhin Yuriy,Rapids,Cardboard,Oil,Landscape,Impressionism,20,32,Unknown,500
Zabaluhin Yuriy,The old Samara,Cardboard,Oil,Landscape,Realism,50,75,Unknown,500
Zabaluhin Yuriy,Volga,Cardboard,Oil,Landscape,Realism,35,45,Unknown,560
Zabaluhin Yuriy,Volga near Podgora,Cardboard,Oil,Landscape,Realism,35,50,Unknown,1110
Osipova Anna,Pink evening,Canvas,Oil,Genre painting,Symbolism,65,100,2014,500
Soroka Elena,Fragility,Canvas,Oil,Nude and erotic,Conceptual art,100,80,2018,3860
Tokarev Evgeniy,Bogeyman Duud (diptih),Canvas,acrylic,Portrait,Conceptual art,40,60,2018,500
Ostrovskaya Elena,Apples ripen,Canvas,Oil,Landscape,Impressionism,50,60,2018,690
Ostrovskaya Elena,Flower waltz,Canvas,Oil,Flowers,Impressionism,70,45,2018,810
Ostrovskaya Elena,Hosts,Canvas,Oil,Flowers,Impressionism,40,60,2018,500
Ostrovskaya Elena,Cotton,Canvas,Oil,Still life,Impressionism,60,40,2018,690
Ostrovskaya Elena,Very soft,Canvas,Oil,Still life,Impressionism,50,40,2017,640
Ostrovskaya Elena,Roses with pomegranate,Canvas,Oil,Still life,Impressionism,60,60,2018,640
Ostrovskaya Elena,Iridescent lily,Canvas,Oil,Flowers,Impressionism,50,50,2017,640
Ostrovskaya Elena,Holiday bouquet,Canvas,Oil,Still life,Impressionism,50,50,2016,600
Ostrovskaya Elena,Peonies,Fiberboard,Oil,Flowers,Impressionism,51,65,2016,810
Ostrovskaya Elena,Motley flowerbed,Canvas,Oil,Flowers,Impressionism,40,50,2016,860
Ostrovskaya Elena,The window in the spring,Fiberboard,Oil,Still life,Impressionism,70,70,2018,1500
Ostrovskaya Elena,Spring,Fiberboard,Oil,Still life,Impressionism,60,50,2017,730
Ostrovskaya Elena,In the evening light,Canvas,Oil,Landscape,Impressionism,45,70,2018,860
Ostrovskaya Elena,The turquoise,Canvas,Oil,Landscape,Impressionism,60,50,2018,690
Ostrovskaya Elena,Bouquet in the rain,Canvas,Oil,Still life,Impressionism,50,50,2018,770
Purygin Valentin,Over the river,Canvas,Oil,Landscape,Realism,100,140,1966,16290
Purygin Valentin,Gate,Canvas,Oil,Landscape,Realism,80,60,1995,12290
Terekhin Vladimir,Bouquet in the Impressionist style,Canvas,Oil,Flowers,Impressionism,75,65,Unknown,500
Simdyanov Andrey,Village street,Canvas,Oil,Landscape,Realism,47,70,2002,500
Simdyanov Andrey,Istopit,Canvas,Oil,Landscape,Realism,47,32,2009,500
Simdyanov Andrey,Volga near Podgora,Canvas,Oil,Landscape,Realism,37,56,2005,500
Simdyanov Andrey,Old oak,Canvas,Oil,Landscape,Realism,43,78,2005,500
Simdyanov Andrey,Way to Fall,Canvas,Oil,Landscape,Realism,35,68,2006,1230
Simdyanov Andrey,Volozhka,Canvas,Oil,Landscape,Realism,30,68.5,2005,610
Simdyanov Andrey,Quiet evening,Canvas,Oil,Landscape,Realism,50,50,2006,1170
Simdyanov Andrey,Pier on the Volga,Canvas,Oil,Landscape,Realism,44,78,2005,670
Simdyanov Andrey,Blue Spring,Canvas,Oil,Landscape,Realism,44,78,2007,1040
Simdyanov Andrey,April sky,Canvas,Oil,Landscape,Realism,50,70,2007,1290
Simdyanov Andrey,The road by the river,Canvas,Oil,Landscape,Realism,60,67,2009,980
Simdyanov Andrey,The old apple trees,Canvas,Oil,Landscape,Realism,60,67,2006,1100
Osipova Anna,White Sun of the Desert 3,Canvas,Oil,Portrait,Symbolism,60,90,2018,500
CHernukhin Sergey,Natural kvass,Canvas,Oil,Still life,Impressionism,59,69,1991,2640
Yudin Aleksandr,Tsarev mound,Cardboard,Oil,Landscape,Realism,48,78,1953,610
Yudin Aleksandr,Mountain stream,Cardboard,Oil,Landscape,Realism,50,70,1955,500
Gerasimenko Natalya,Meditation,Canvas,Oil,Genre painting,Impressionism,35,45,Unknown,560
Gerasimenko Natalya,Riders,Canvas,Oil,Landscape,Impressionism,100,100,Unknown,3940
Gerasimenko Natalya,Venetian bridge,Canvas,Oil,Landscape,Impressionism,50,60,2019,1070
Mishagin Andrey,Ripe!,Canvas,Oil,Still life,Impressionism,60,70,2018,2490
Mishagin Andrey,Had seen in his lifetime,Canvas,Oil,Landscape,Impressionism,50,70,2018,2490
Mishagin Andrey,City ​​views,Canvas,Oil,Landscape,Impressionism,20,30,2018,500
Kalimullina Aliya,Peppers,Canvas,"acrylic, темпера",Still life,Realism,80,80,Unknown,860
Zavackiy Viktor,Chapel in the snow,Cardboard,Oil,Landscape,Impressionism,70,50,1962,1500
Zavackiy Viktor,Farm in winter,Cardboard,Oil,Landscape,Impressionism,33,42,1964,500
Zavackiy Viktor,Belfry,Cardboard,Oil,Landscape,Impressionism,34,48,1963,500
Zavackiy Viktor,Rural church,Cardboard,Oil,Landscape,Impressionism,70,49.5,1961,920
Zavackiy Viktor,Refectory,Cardboard,Oil,Landscape,Impressionism,50,70,1961,610
Shcherbin Vladimir,Still life,Canvas,Oil,Still life,Realism,48,46,Unknown,550
Shcherbin Vladimir,Tsarevschina 2,Canvas,Oil,Landscape,Realism,24,35,Unknown,500
Eskov Ivan,Gold autumn,Canvas,Oil,Landscape,Realism,62,77,1991,3210
Guzenko Pavel,Bloom,Canvas,Oil,Flowers,Impressionism,40,20,Unknown,500
Guzenko Pavel,Morning in the forest,Canvas,Oil,Landscape,Impressionism,40,20,Unknown,500
Guzenko Pavel,Transparent berries,Canvas,Oil,Landscape,Impressionism,20,40,Unknown,500
Guzenko Pavel,Sailing ship,Canvas,Oil,Landscape,Impressionism,40,20,Unknown,500
Guzenko Pavel,Summer harvest,Canvas,Oil,Landscape,Impressionism,20,40,Unknown,500
Guzenko Pavel,Crocuses,Canvas,Oil,Flowers,Impressionism,40,20,Unknown,500
Guzenko Pavel,Strawberry,Canvas,Oil,Landscape,Impressionism,20,40,Unknown,500
Guzenko Pavel,Carpathians,Canvas,Oil,Landscape,Impressionism,30,30,Unknown,500
Guzenko Pavel,Winter forest,Canvas,Oil,Landscape,Impressionism,20,40,2018,500
Guzenko Pavel,Blue cotton,Canvas,Oil,Flowers,Impressionism,40,20,Unknown,500
Yudin Aleksandr,Gorki. winter alley,Cardboard,Oil,Landscape,Realism,50,70,1955,610
Osipova Anna,The whisper of wings,Canvas,Oil,Portrait,Symbolism,216,121,2018,10000
Osipova Anna,GDT,Canvas,Oil,Genre painting,Symbolism,80,195,2018,10000
Osipova Anna,Tengriyanets,Canvas,Oil,Portrait,Symbolism,126,121,2018,10000
Osipova Anna,Flight,Canvas,Oil,Genre painting,Symbolism,60,90,2018,500
Osipova Anna,She-bear,Canvas,Oil,Portrait,Symbolism,126,121,2018,10000
Osipova Anna,Warrior,Canvas,Oil,Genre painting,Symbolism,80,195,2018,500
Osipova Anna,Run,Canvas,Oil,Animals,Symbolism,60,120,2018,4290
Zabaluhin Yuriy,Still life with carp,Cardboard,Oil,Still life,Impressionism,54,75,Unknown,1350
Zabaluhin Yuriy,Small river,Canvas,Oil,Landscape,Impressionism,44,55,Unknown,1230
Zabaluhin Yuriy,Winter,Cardboard,Oil,Landscape,Impressionism,38,50,Unknown,1160
Filatov Gennadiy,Spring wind,Cardboard,Oil,Landscape,Impressionism,63,82,1968,500
Tryndyk Vasiliy,Shaman,Canvas,Oil,Portrait,Symbolism,25,25,Unknown,910
Tryndyk Vasiliy,Family,Canvas,Oil,Portrait,Symbolism,25,25,Unknown,910
Tryndyk Vasiliy,Family portrait,Canvas,Oil,Portrait,Symbolism,25,25,Unknown,910
Tryndyk Vasiliy,Girlfriends,Canvas,Oil,Portrait,Symbolism,25,25,Unknown,910
Tryndyk Vasiliy,Under the moon,Canvas,Oil,Portrait,Symbolism,25,25,Unknown,910
Tryndyk Vasiliy,Lady bird,Canvas,Oil,Portrait,Symbolism,25,25,Unknown,910
Tryndyk Vasiliy,Hunting,Canvas,Oil,Genre painting,Symbolism,25,25,Unknown,910
Tryndyk Vasiliy,Lonely figure,Canvas,Oil,Genre painting,Symbolism,36,36,Unknown,1590
Tryndyk Vasiliy,UFO,Canvas,Oil,Religion and myth,Symbolism,25,25,Unknown,910
Tryndyk Vasiliy,On stilts,Canvas,Oil,Genre painting,Symbolism,25,25,Unknown,910
Tryndyk Vasiliy,Mom’s care,Canvas,Oil,Animals,Symbolism,19,19,Unknown,500
Tryndyk Vasiliy,Playing with ribbons,Canvas,Oil,Portrait,Symbolism,19,19,Unknown,500
Tryndyk Vasiliy,Green trees,Canvas,Oil,Landscape,Symbolism,25,25,Unknown,910
Tryndyk Vasiliy,Childhood,Canvas,Oil,Portrait,Symbolism,25,25,Unknown,910
Tryndyk Vasiliy,Sorrow,Canvas,Oil,Portrait,Symbolism,25,25,Unknown,910
Tryndyk Vasiliy,City-mirage,Canvas,Oil,Landscape,Symbolism,36,36,Unknown,1590
Tryndyk Vasiliy,Spring,Canvas,Oil,Portrait,Symbolism,25,25,Unknown,910
Tryndyk Vasiliy,True friend,Cardboard,Oil,Animals,Symbolism,36,36,Unknown,1590
Tryndyk Vasiliy,Astronaut of the future,Canvas,Oil,Portrait,Symbolism,19,19,Unknown,500
Filippov Yuriy,Monastery,Canvas,Oil,Landscape,Realism,78,92,Unknown,2760
Ivukin Yuriy,Farm,Cardboard,Oil,Landscape,Expressionism,50,60,1998,1410
Ivukin Yuriy,Still life with apples and pears,Cardboard,Oil,Still life,Expressionism,60,50,2000,1470
Zavackiy Viktor,Bread,Cardboard,Oil,Still life,Realism,49,53,1963,940
Tryndyk Vasiliy,Date,Canvas,Oil,Genre painting,Symbolism,25,25,Unknown,910
Bilyaev Roman,Reach – Rainy day,Canvas,Oil,Landscape,Impressionism,50,70,2018,1370
Bilyaev Roman,Mushroom time,Canvas,Oil,Landscape,Impressionism,50,70,2018,1160
Bilyaev Roman,The day is burning down,Canvas,Oil,Landscape,Impressionism,50,70,2016,1290
Bilyaev Roman,Berth – Sunny Bulgaria,Canvas,Oil,Landscape,Impressionism,70,70,2017,500
Bilyaev Roman,Red rowan burns with fire,Canvas,Oil,Landscape,Impressionism,60,100,2018,2570
Bilyaev Roman,Pier – Cyprus,Canvas,Oil,Landscape,Impressionism,50,70,2017,500
Halzev Nikolay,Spill on the Volga,Fiberboard,Oil,Landscape,Realism,68,78,1982,
Kugel Aleksandr,In the Aegean islands,Canvas,Oil,Landscape,Realism,35,50,Unknown,500
Kugel Aleksandr,Mountain river,Canvas,Oil,Landscape,Realism,37,46,Unknown,500
Kugel Aleksandr,Still life with chrysanthemums,Fiberboard,Oil,Still life,Realism,32,48,Unknown,500
Kugel Aleksandr,Still life with carnations,Canvas,Oil,Still life,Realism,42,30,Unknown,500
Kugel Aleksandr,On the shore of a mountain lake,Canvas,Oil,Landscape,Realism,39,48,Unknown,500
Kugel Aleksandr,Gold autumn. Birch trees at the water,Canvas,Oil,Landscape,Realism,34,50,Unknown,500
Yurasova Tatyana,Venus,Canvas,acrylic,Flowers,,40,30,2018,500
Yurasova Tatyana,Incredible bouquet,paper,watercolor/gouache,Still life,Symbolism,42,32,2018,500
Yurasova Tatyana,Luck,paper,watercolor/acrylic,Flowers,,32,42,2018,500
Yurasova Tatyana,The atmosphere is romantic night,paper,watercolor/acrylic,Flowers,,31,41,2018,500
Shaimardanov Alfrid,The obvious – an incredible,Canvas,Oil,Genre painting,Naive art,130,150,2017,17800
Evgrafova Larisa,Parables of the main,Cardboard,acrylic,Religion and myth,Naive art,74,78,2017,500
Fayzutdinova YAna,Apple mood,Лён,acrylic,Still life,Impressionism,100,100,2018,1290
Fayzutdinova YAna,In their passage wind noise and breath of fresh air,Лён,acrylic,Landscape,Impressionism,100,100,2018,1290
Kuznecova Svetlana,Thoughts on the main,Canvas,"Oil, acrylic",Abstraction,Abstract art,90,70,Unknown,1670
Kuznecova Svetlana,Autumn jazz,Canvas,"Oil, acrylic",Abstraction,Abstract art,100,160,Unknown,2790
Kugel Aleksandr,Lake in the Hills,Canvas,Oil,Landscape,Realism,35,50,Unknown,500
Zinger Grigoriy,Autumn,Cardboard,Oil,Landscape,Realism,68,47,Unknown,500
Bogusonova Dina,Beach holiday,Медь,Горячая,Genre painting,Symbolism,60.5,74,2011,3430
Zinger Grigoriy,Center,Cardboard,Oil,Landscape,Realism,50,70,Unknown,2140
Zinger Grigoriy,Flowers,Canvas,Oil,Still life,Realism,60,48,Unknown,500
Osipova Anna,Only the dark night will protect us from the cold winds,Canvas,Oil,Genre painting,Surrealism,111,121,2016,500
CHernavina Irina,Popugai- travelers,Canvas,Oil,Animals,Conceptual art,100,100,2015,
Zinger Grigoriy,Skiers on a walk,Cardboard,Oil,Landscape,Realism,63,90,Unknown,500
Zinger Grigoriy,Spring,Cardboard,Oil,Landscape,Realism,50,79,Unknown,500
Zinger Grigoriy,Winter,Cardboard,Oil,Landscape,Realism,48,33,Unknown,500
Mishagin Andrey,Rowan’s time,Canvas,Oil,Landscape,Impressionism,50,60,2018,1630
Mishagin Andrey,Flood,Canvas,Oil,Landscape,Impressionism,40,50,2018,1070
Mishagin Andrey,A walk through the old town,Canvas,Oil,Landscape,Impressionism,60,50,2018,1800
Mishagin Andrey,Holiday over the ocean,Canvas,Oil,Landscape,Impressionism,60,70,2018,1930
Mishagin Andrey,The Iver Monastery,Canvas,Oil,Landscape,Impressionism,45,60,2018,500
Osipova Anna,Spring breathing winged,Canvas,Oil,Genre painting,Symbolism,60,125,2016,500
Grishin Gennadiy,Family,Canvas,Oil,Genre painting,Realism,80,105,1981,4290
Grishin Gennadiy,The arrival of Alexander II in the Monastery of the Caves,Canvas,Oil,Genre painting,Realism,120,115,2007,6430
Semernin Seva,Village. Russia,Canvas,Oil,Landscape,Realism,70,90,Unknown,3430
Semernin Seva,Christmas Eve,Canvas,Oil,Landscape,Realism,60,50,Unknown,2570
Grishin Gennadiy,Summer,Canvas,Oil,Genre painting,Realism,89,128,2004,6430
Lejnikov Yuriy,Port of Arkhangelsk. Bakaritsa,Cardboard,Oil,Landscape,Realism,49,68,1964,500
Thomas Fournier,Bright rudeness,Canvas,Oil,Abstraction,Abstract art,35,25,2018,500
Thomas Fournier,The combination of the soul,Canvas,Oil,Abstraction,Abstract art,50,40,2018,
Thomas Fournier,Loss of virginity,Canvas,Oil,Abstraction,Abstract art,40,60,2018,1970
Thomas Fournier,Space Intertwined,Canvas,Oil,Abstraction,Abstract art,40,60,2018,2790
Thomas Fournier,Splashes of champagne,Canvas,Oil,Abstraction,Abstract art,50,40,2018,770
Rahmonova Sitora,Khiva,Canvas,Oil,Landscape,Realism,90,150,2018,17140
Rahmonova Sitora,Ghost East,Canvas,Oil,Genre painting,Symbolism,90,150,2018,17140
Osipova Anna,Walking with a wolf,Canvas,Oil,Genre painting,Symbolism,162,162,2017,500
Soroka Elena,Dance of death,Canvas,Oil,Religion and myth,Symbolism,60,60,2018,2360
Soroka Elena,Composition (triptych),Canvas,Oil,Abstraction,Abstract art,55,114,2018,4290
Soroka Elena,Wrong Side of Town. gateway,Canvas,Oil,Landscape,Realism,66,120,2018,3430
Soroka Elena,Inspiration (diptih),Canvas,Oil,Portrait,Conceptual art,50,90,2018,3430
Soroka Elena,Irrelevance (poliptych),Canvas,Oil,Abstraction,Abstract art,120,160,2018,7500
Liza Shchegol,With branch alive,Дерево,Темпера,Abstraction,Abstract art,14.5,51,2018,810
Liza Shchegol,By the banks of flowering,Дерево,Темпера,Landscape,Symbolism,37.5,10.5,2018,500
Akhmedov Zakir,Life,Canvas,Oil,Portrait,Symbolism,70,90,2018,16270
Akhmedov Zakir,The sea,Canvas,Oil,Portrait,Symbolism,70,90,2018,16270
Akhmedov Zakir,Carpet and girl,Canvas,Oil,Portrait,Symbolism,75,50,2018,8610
Akhmedov Zakir,Red bird,Canvas,Oil,Portrait,Symbolism,70,50,2018,8610
Akhmedov Zakir,Turkish bath,Canvas,Oil,Genre painting,Symbolism,40,40,2014,7180
Akhmedov Zakir,Love time,Canvas,Oil,Genre painting,Symbolism,60,40,2017,7180
Akhmedov Zakir,Guilt,Canvas,Oil,Still life,Symbolism,50,45,2014,10000
Akhmedov Zakir,Pear and wine,Canvas,Oil,Still life,Symbolism,49,40,2017,8610
Akhmedov Zakir,Good morning,Canvas,Oil,Nude and erotic,Symbolism,50,40,2017,10000
Akhmedov Zakir,Kafe,Canvas,Oil,Still life,Symbolism,55,45,2013,10000
Guzenko Pavel,Dream herb,Canvas,Oil,Still life,Impressionism,40,20,Unknown,500
Guzenko Pavel,Raspberries,Canvas,Oil,Still life,Impressionism,20,40,Unknown,500
Guzenko Pavel,Small hut,Canvas,Oil,Landscape,Symbolism,20,40,Unknown,500
